Company Name,Ticker Symbol
SKYLINE MILLARS LTD.,SKYLMILAR
BIMETAL BEARINGS LTD.-$,BIMETAL
TAPARIA TOOLS LTD.,TAPARIA
BHARAT GEARS LTD.,BHARATGEAR
BRADY & MORRIS ENGINEERING CO.LTD.,BRADYM
La Tim Metal & Industries Ltd,LATIMMETAL
ELECON ENGINEERING CO.LTD.,ELECON
DECCAN BEARINGS LTD.,DECANBRG
GRAUER & WEIL (INDIA) LTD.-$,GRAUWEIL
GAJRA BEVEL GEARS LTD.-$,GAJRA
Him Teknoforge Ltd,HIMTEK
GABRIEL INDIA LTD.-$,GABRIEL
HERCULES HOISTS LTD.,HERCULES
HINDUSTAN EVEREST TOOLS LTD.,HINDEVER
IFB INDUSTRIES LTD.,IFBIND
SINGER INDIA LTD.,SINGER
INTERNATIONAL COMBUSTION (INDIA) LTD.,INTLCOMBQ
FEDERAL-MOGUL GOETZE (INDIA) LTD.,FMGOETZE
JOST'S ENGINEERING CO.LTD.,JOSTS
Schaeffler India Ltd,SCHAEFFLER
RANE HOLDINGS LTD.,RANEHOLDIN
ROLCON ENGINEERING CO.LTD.,ROLCOEN
SNL BEARINGS LTD.,SNL
JAIPAN INDUSTRIES LTD.,JAIPAN
MANGAL CREDIT AND FINCORP LTD.,MANCREDIT
TRF LTD.-$,TRF
WPIL LTD.,WPIL
KENNAMETAL INDIA LTD.-$,KENNAMET
Hindustan Hardy Ltd,HINDHARD
TRITON VALVES LTD.,TRITONV
SUDAL INDUSTRIES LTD.,SUDAI
PRAKASH INDUSTRIES LTD.,PRAKASH
Hariyana Ventures Ltd,HVL
PRABHU STEEL INDUSTRIES LTD.,ZPRBHSTE
Arshiya Limited,ARSHIYA
GRINDWELL NORTON LTD.-$,GRINDWELL
LAKSHMI PRECISION SCREWS LTD.,LAKPRE
STANROSE MAFATLAL INVESTMENTS AND FINANCE LTD.,STANROS
GENESYS INTERNATIONAL CORPORATION LTD.,GENESYS
ALNA TRADING & EXPORTS LTD.,ALNATRD
Pankaj Piyush Trade & Investment Ltd,PANKAJPIYUS
PARNAX LAB LTD.,PARNAXLAB
INTELLIVATE CAPITAL VENTURES LTD.,INTELLCAP
VISAGAR POLYTEX LTD.,VIVIDHA
ISHWARSHAKTI HOLDINGS & TRADERS LTD.,ISHWATR
TERRAFORM MAGNUM LTD.,TERRAFORM
APIS INDIA LTD.,APIS
KHATAU EXIM LTD.,ZKHATAUE
Emergent Industrial Solutions Ltd,EMERGENT
KANANI INDUSTRIES LTD.,KANANIIND
Galaxy Cloud Kitchens Ltd-$,GCKL
SARVAMANGAL MERCANTILE CO.LTD.,ZSARVAMA
Arihant Superstructures Limited,ASL
VIKSIT ENGINEERING LTD.,VIKSHEN
BLISS GVS PHARMA LTD.,BLISSGVS
INEOS Styrolution India Ltd,INEOSSTYRO
ALEMBIC LTD.,ALEMBICLTD
AMINES & PLASTICIZERS LTD.,AMNPLST
ANUH PHARMA LTD.,ANUHPHR
MODISON METALS LTD.-$,MODISNME
BAYER CROPSCIENCE LTD.,BAYERCROP
Sashwat Technocrats Limited,SASHWAT
CHEMO PHARMA LABORATORIES LTD.,CHEMOPH
CLARIANT CHEMICALS (INDIA) LTD.,CLNINDIA
COROMANDEL INTERNATIONAL LTD.,COROMANDEL
DEEPAK NITRITE LTD.-$,DEEPAKNI
DHARAMSI MORARJI CHEMICAL CO.LTD.,DHARAMSI
Fermenta Biotech Ltd,FERMENTA
GOCL Corporation Ltd-$,GOCLCORP
JAYSHREE CHEMICALS LTD.,JAYCH
J.L.MORISON (INDIA) LTD.,JLMORI
KANORIA CHEMICALS & INDUSTRIES LTD.,KANORICHEM
KELTECH ENERGIES LTD.,KELENRG
KEMP & COMPANY LTD.,KEMP
NITTA GELATIN INDIA LTD.-$,NITTAGELA
M.P.AGRO INDUSTRIES LTD.,MPAGI
ORIENTAL CARBON & CHEMICALS LTD.-$,ORIENTCQ
PHILLIPS CARBON BLACK LTD.,PHILIPCARB
AMAL LTD.,AMAL
POLYCHEM LTD.,POLYCHEM
PUNJAB CHEMICALS AND CROP PROTECTION LTD.-$,PUNJABCHEM
GUJCHEM DISTILLERS INDIA LTD.,GUJCMDS
SADHANA NITROCHEM LTD.,SADHNANIQ
SUDARSHAN CHEMICAL INDUSTRIES LTD.,SUDARSCHEM
ULTRAMARINE & PIGMENTS LTD.-$,ULTRAMAR
TRANSPEK INDUSTRY LTD.-$,TRANSPEK
UNICHEM LABORATORIES LTD.,UNICHEMLAB
MYSORE PETRO CHEMICALS LTD.-$,MYSORPETRO
ALKYL AMINES CHEMICALS LTD.-$,ALKYLAMINE
Tuticorin Alkali Chemicals And Fertilizers Ltd,TUTIALKA
